1       CPU: 2,448436                   RAM: 2267                       D˜SK: 0
265     CPU: 6,356467                   RAM: 2217                       D˜SK: 0,9769723
266     CPU: 8,541588                   RAM: 2209                       D˜SK: 1,889536
267     CPU: 8,217824                   RAM: 2211                       D˜SK: 0,0268309
268     CPU: 7,076485                   RAM: 2212                       D˜SK: 2,363125
269     CPU: 3,955877                   RAM: 2214                       D˜SK: 0,6316668
270     CPU: 4,849364                   RAM: 2216                       D˜SK: 0,1882222
271     CPU: 7,633525                   RAM: 2218                       D˜SK: 0,02643683
272     CPU: 8,408113                   RAM: 2210                       D˜SK: 0,08443955
273     CPU: 4,870142                   RAM: 2212                       D˜SK: 0,07889458
274     CPU: 4,255475                   RAM: 2214                       D˜SK: 15,32269
275     CPU: 11,55436                   RAM: 2206                       D˜SK: 0,05377742
276     CPU: 4,437861                   RAM: 2211                       D˜SK: 0,08331603
277     CPU: 9,308724                   RAM: 2213                       D˜SK: 14,52209
278     CPU: 8,486979                   RAM: 2218                       D˜SK: 0,08944077
279     CPU: 2,468622                   RAM: 2217                       D˜SK: 0,05636849
280     CPU: 3,905142                   RAM: 2209                       D˜SK: 2,522899
281     CPU: 8,95637                    RAM: 2211                       D˜SK: 1,688446
282     CPU: 5,119644                   RAM: 2215                       D˜SK: 1,301723
283     CPU: 12,33979                   RAM: 2217                       D˜SK: 1,392893
284     CPU: 8,383121                   RAM: 2219                       D˜SK: 14,37332
285     CPU: 5,285331                   RAM: 2210                       D˜SK: 0,08282585
286     CPU: 8,098186                   RAM: 2214                       D˜SK: 0,08797074
287     CPU: 8,730742                   RAM: 2216                       D˜SK: 0,04834167
288     CPU: 6,411699                   RAM: 2218                       D˜SK: 0,08128781
289     CPU: 5,853912                   RAM: 2217                       D˜SK: 0,4851187
290     CPU: 2,30093                    RAM: 2217                       D˜SK: 0,08531729
291     CPU: 4,353853                   RAM: 2208                       D˜SK: 0,02094794
292     CPU: 4,751627                   RAM: 2210                       D˜SK: 0,1040544
293     CPU: 5,390049                   RAM: 2212                       D˜SK: 0,251687
294     CPU: 6,640118                   RAM: 2217                       D˜SK: 0,1291212
295     CPU: 4,594655                   RAM: 2217                       D˜SK: 0,7755785
296     CPU: 8,091443                   RAM: 2210                       D˜SK: 0,3387865
297     CPU: 5,31795                    RAM: 2212                       D˜SK: 0,5919231
298     CPU: 5,169388                   RAM: 2216                       D˜SK: 0,02645622
299     CPU: 6,041456                   RAM: 2218                       D˜SK: 0,1824209
300     CPU: 2,399657                   RAM: 2215                       D˜SK: 3,447497
301     CPU: 3,551893                   RAM: 2214                       D˜SK: 0,08157579
302     CPU: 5,16312                    RAM: 2208                       D˜SK: 0,1148814
303     CPU: 7,216831                   RAM: 2210                       D˜SK: 0,07340442
304     CPU: 13,93231                   RAM: 2219                       D˜SK: 0,2206495
305     CPU: 10,75166                   RAM: 2212                       D˜SK: 0,08145775
306     CPU: 4,442776                   RAM: 2213                       D˜SK: 0,02813014
307     CPU: 3,893086                   RAM: 2208                       D˜SK: 3,254978
308     CPU: 7,515707                   RAM: 2213                       D˜SK: 0,06846229
309     CPU: 6,477581                   RAM: 2215                       D˜SK: 2,548698
310     CPU: 6,424391                   RAM: 2215                       D˜SK: 0,02641319
311     CPU: 4,722539                   RAM: 2218                       D˜SK: 0,05380116
312     CPU: 5,090174                   RAM: 2222                       D˜SK: 0,3126793
313     CPU: 10,90434                   RAM: 2212                       D˜SK: 1,225674
314     CPU: 7,53991                    RAM: 2214                       D˜SK: 0,1175534
315     CPU: 7,451455                   RAM: 2216                       D˜SK: 0,095454
316     CPU: 6,375725                   RAM: 2218                       D˜SK: 0,1087014
317     CPU: 5,510871                   RAM: 2210                       D˜SK: 0,05825926
318     CPU: 3,684046                   RAM: 2214                       D˜SK: 0,08967356
319     CPU: 5,657137                   RAM: 2216                       D˜SK: 0,150591
320     CPU: 8,968757                   RAM: 2218                       D˜SK: 2,179774
321     CPU: 5,188854                   RAM: 2218                       D˜SK: 0
322     CPU: 6,943782                   RAM: 2209                       D˜SK: 0,2145804
323     CPU: 10,77059                   RAM: 2212                       D˜SK: 0,1904303
324     CPU: 6,339892                   RAM: 2214                       D˜SK: 0,1641616
325     CPU: 8,274033                   RAM: 2216                       D˜SK: 0,02704895
326     CPU: 5,145984                   RAM: 2220                       D˜SK: 0,07484018
327     CPU: 7,187196                   RAM: 2222                       D˜SK: 0,1046115
328     CPU: 7,108602                   RAM: 2213                       D˜SK: 0,50403
329     CPU: 5,05908                    RAM: 2215                       D˜SK: 0,1738892
330     CPU: 4,109498                   RAM: 2219                       D˜SK: 0,2850299
331     CPU: 6,434099                   RAM: 2219                       D˜SK: 0,05849205
332     CPU: 1,180308                   RAM: 2221                       D˜SK: 0,07554636
333     CPU: 21,28184                   RAM: 2214                       D˜SK: 0,02680366
334     CPU: 7,587857                   RAM: 2216                       D˜SK: 2,127737
335     CPU: 5,895804                   RAM: 2218                       D˜SK: 0,9490437
336     CPU: 5,456936                   RAM: 2216                       D˜SK: 1,80171
337     CPU: 13,31239                   RAM: 2220                       D˜SK: 0,9155133
338     CPU: 6,680516                   RAM: 2222                       D˜SK: 0,1056404
339     CPU: 4,71241                    RAM: 2222                       D˜SK: 0,1555417
340     CPU: 7,327695                   RAM: 2220                       D˜SK: 0,08746246
341     CPU: 8,000328                   RAM: 2214                       D˜SK: 0,2019092
342     CPU: 2,876291                   RAM: 2215                       D˜SK: 0,04981672
